track_name,artist_name,release_date,danceability,energy,valence,tempo,loudness,acousticness,popularity
Lay It Down Gmix - Main,Lloyd,2011-01-01,0.597,0.8,0.565,155.93200000000002,-5.422999999999999,0.0461,28
Bartender (feat. Akon),T-Pain,2007-06-05,0.8320000000000001,0.391,0.436,104.961,-8.504,0.0564,75
Chosen (feat. Ty Dolla $ign),Blxst,2020-12-04,0.5710000000000001,0.767,0.605,93.421,-5.16,0.336,76
Tie Me Down (with Elley Duhé),Gryffin,2018-08-03,0.5479999999999999,0.8390000000000001,0.314,98.932,-2.371,0.135,72
Build a Bitch,Bella Poarch,2021-05-14,0.855,0.4629999999999999,0.866,102.931,-7.454,0.217,89
Ever After,Bonnie Bailey,2018-05-11,0.774,0.8,0.902,113.994,-6.504,0.259,50
Calling My Phone,Lil Tjay,2021-04-02,0.907,0.3929999999999999,0.2019999999999999,104.949,-7.636,0.451,89
Clap For 'Em (feat. Flo Milli & Sada Baby),YungManny,2021-03-20,0.903,0.785,0.823,129.835,-4.709,0.0245,70
Butter,BTS,2021-05-21,0.759,0.4589999999999999,0.695,109.997,-5.187,0.00323,98
Booty Wurk (One Cheek At a Time) (feat. Joey Galaxy),T-Pain,2011-07-08,0.782,0.6759999999999999,0.878,158.162,-6.144,0.0078599999999999,40
Love Me,Justin Bieber,2009-01-01,0.7290000000000001,0.868,0.632,124.957,-3.319,0.00939,43
Who's That Girl (feat. Eve),Guy Sebastian,2010-11-08,0.759,0.833,0.599,127.017,-5.268,0.155,51
"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne,2021-04-22,0.883,0.674,0.73,141.02,-8.043,0.21,91
Ayegirl,1way Frank,2014-09-04,0.7829999999999999,0.38,0.84,99.802,-8.507,0.735,58
You Da One,Rihanna,2011-01-01,0.7020000000000001,0.715,0.863,127.05,-5.377000000000001,0.503,44
Hands Up,Chris Brown,2017-12-13,0.565,0.73,0.526,102.792,-5.941,0.369,53
I Don't Mind (feat. Juicy J),Usher,2014-11-21,0.87,0.4639999999999999,0.457,112.974,-8.337,0.205,69
Low (feat. T-Pain),Flo Rida,2008-03-17,0.918,0.609,0.304,128.00799999999998,-5.64,0.0928,80
Kiss Me More (feat. SZA),Doja Cat,2021-04-09,0.762,0.701,0.742,110.968,-3.5410000000000004,0.235,98
Close up,Prophet the Artist,2020-11-11,0.7390000000000001,0.685,0.598,127.988,-10.203,0.353,50
Love You Different (feat. BEAM),Justin Bieber,2021-03-19,0.759,0.584,0.374,127.138,-6.655,0.0652,72
Heartbreak Anniversary,Giveon,2020-03-27,0.449,0.465,0.5429999999999999,89.087,-8.964,0.524,92
deja vu,Olivia Rodrigo,2021-05-21,0.442,0.612,0.178,180.917,-7.222,0.584,88
Caroline,Aminé,2017-07-28,0.94,0.335,0.7070000000000001,120.04,-10.179,0.17,78
Work It,Missy Elliott,2002-11-11,0.884,0.677,0.584,101.868,-5.603,0.0778,71
Rich Boy Trap,Daz Payne,2021-03-26,0.7759999999999999,0.584,0.295,138.031,-10.606,0.142,42
Goodies (feat. Petey Pablo),Ciara,2004-09-27,0.826,0.647,0.872,102.017,-6.306,0.0277,68
Iko Iko (My Bestie),Justin Wellington,2019-06-03,0.862,0.753,0.8270000000000001,105.039,-5.356,0.131,81
Copines,Aya Nakamura,2018-11-02,0.701,0.787,0.904,180.02700000000002,-3.941,0.27,80
Run It! (feat. Juelz Santana),Chris Brown,2005-01-01,0.846,0.482,0.212,100.969,-6.721,0.0246,72
San Andreas Theme Song,Young Maylay,2005-11-07,0.52,0.836,0.486,96.855,-7.13,0.0164,65
OUT out,AP3,2021-03-26,0.8420000000000001,0.7190000000000001,0.8,130.007,-8.075,0.16,41
motive (with Doja Cat),Ariana Grande,2020-10-30,0.789,0.742,0.6609999999999999,116.965,-5.664,0.0681,82
Why,Bazzi,2018-04-12,0.6759999999999999,0.67,0.54,113.01,-6.584,0.353,72
Talkin' Bout (feat. Saweetie),Loui,2021-04-16,0.885,0.466,0.272,75.014,-6.127999999999999,0.0396,71
International Love (feat. Chris Brown),Pitbull,2011-06-17,0.67,0.855,0.648,120.05,-3.035,0.0124,75
She Make It Clap,Soulja Boy,2021-03-12,0.938,0.4629999999999999,0.46,119.878,-13.124,0.035,61
Somebody To Love Remix,Justin Bieber,2011-01-01,0.703,0.836,0.552,129.987,-4.619,0.0038799999999999,59
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,2021-03-19,0.677,0.696,0.4639999999999999,90.03,-6.181,0.321,99
Aya,WilliamGregory,2021-04-15,0.708,0.823,0.1689999999999999,100.055,-5.261,0.0452,35
Big Gangsta,Kevin Gates,2019-05-31,0.879,0.574,0.346,144.911,-5.602,0.519,79
Up,Cardi B,2021-02-05,0.868,0.795,0.8190000000000001,166.0,-6.044,0.0012,89
16 Shots,Stefflon Don,2017-05-22,0.684,0.79,0.5489999999999999,95.083,-4.871,0.0271,72
Gimme More,Britney Spears,2007-10-25,0.7879999999999999,0.8440000000000001,0.382,113.324,-3.131,0.25,83
Imma Be,Black Eyed Peas,2009-01-01,0.597,0.517,0.412,92.035,-6.962999999999999,0.179,68
Alo Michael - rico rico rico rico,Los Dioses Del Ritmo,2020-05-30,0.853,0.667,0.919,115.992,-10.255999999999998,0.265,35
You're Perfect,Charly Black,2017-10-20,0.8170000000000001,0.855,0.7829999999999999,104.909,-3.282,0.318,69
Birthday,Slapaholics,2021-05-01,0.688,0.862,0.417,77.514,-7.896,0.0377,35
Intenso boom boom ( Acompanha o Grave ),Dj Guuga,2019-04-12,0.8640000000000001,0.939,0.373,79.454,-1.122,0.312,66
20 Min,Lil Uzi Vert,2017-11-17,0.773,0.75,0.7829999999999999,123.426,-4.0089999999999995,0.109,82
Razor Blade Flow,Mak Sauce,2020-04-10,0.8640000000000001,0.755,0.685,84.044,-5.372999999999999,0.00263,42
No Lie,Sean Paul,2018-06-29,0.742,0.882,0.4629999999999999,102.04,-2.862,0.0466,79
Best I Ever Had,Drake,2019-02-14,0.441,0.929,0.546,162.395,-2.199,0.203,45
ANXIOUS,Josh A,2021-04-30,0.6809999999999999,0.621,0.421,84.007,-6.48,0.291,63
Batman,LPB Poody,2021-02-12,0.893,0.565,0.8079999999999999,81.009,-4.74,0.0754,77
